mode,block,contact,pass,speed_mm_s,edge_seq,edge_clock,stop_clock,delta_ticks
isr,1,1,fast,20,15,1283398213,1283398490,277
isr,1,2,slow,3,46,1307952115,1307952392,277
isr,1,3,fast,20,74,1338297581,1338297858,277
isr,1,4,slow,3,106,1363006588,1363006866,278
isr,1,5,fast,20,134,1393334325,1393334603,278
isr,1,6,slow,3,166,1417981075,1417981353,278
isr,1,7,fast,20,194,1448309038,1448309315,277
isr,1,8,slow,3,226,1472980922,1472981199,277
isr,1,9,fast,20,254,1503306371,1503306648,277
isr,1,10,slow,3,286,1527986403,1527986681,278
isr,1,11,fast,20,314,1558310730,1558311007,277
isr,1,12,slow,3,346,1582994003,1582994280,277
isr,1,13,fast,20,374,1613320956,1613321233,277
isr,1,14,slow,3,406,1637997377,1637997655,278
isr,1,15,fast,20,434,1668322721,1668322999,278
isr,1,16,slow,3,466,1692993032,1692993309,277
poll,2,1,fast,20,493,2265958369,2265959435,1066
poll,2,2,slow,3,525,2290618599,2290621117,2518
poll,2,3,fast,20,553,2320947095,2320948253,1158
poll,2,4,slow,3,585,2345603707,2345604579,872
poll,2,5,fast,20,613,2375927239,2375927961,722
poll,2,6,slow,3,645,2400596153,2400599252,3099
poll,2,7,fast,20,673,2430927140,2430928313,1173
poll,2,8,slow,3,705,2455595171,2455600311,5140
poll,2,9,fast,20,733,2485924358,2485925560,1202
poll,2,10,slow,3,765,2510590556,2510592122,1566
poll,2,11,fast,20,793,2540914710,2540915896,1186
poll,2,12,slow,3,825,2565584617,2565587866,3249
poll,2,13,fast,20,853,2595913574,2595914682,1108
poll,2,14,slow,3,885,2620571363,2620575528,4165
poll,2,15,fast,20,913,2650899534,2650900782,1248
poll,2,16,slow,3,945,2675567190,2675570709,3519
poll,3,17,fast,20,973,2989373377,2989374572,1195
poll,3,18,slow,3,1005,3014031441,3014035806,4365
poll,3,19,fast,20,1033,3044359419,3044360160,741
poll,3,20,slow,3,1065,3069030358,3069031013,655
poll,3,21,fast,20,1093,3099355262,3099356093,831
poll,3,22,slow,3,1126,3124022316,3124023419,1103
poll,3,23,fast,20,1154,3154348975,3154349843,868
poll,3,24,slow,3,1187,3179006211,3179010821,4610
poll,3,25,fast,20,1215,3209335667,3209336345,678
poll,3,26,slow,3,1248,3233997579,3234003021,5442
poll,3,27,fast,20,1276,3264328529,3264329112,583
poll,3,28,slow,3,1309,3288993577,3288996556,2979
poll,3,29,fast,20,1337,3319323488,3319324499,1011
poll,3,30,slow,3,1370,3343981675,3343986682,5007
poll,3,31,fast,20,1398,3374311750,3374312370,620
poll,3,32,slow,3,1431,3398970743,3398973951,3208
isr,4,17,fast,20,1460,3853002075,3853002352,277
isr,4,18,slow,3,1493,3877668839,3877669117,278
isr,4,19,fast,20,1521,3907993533,3907993811,278
isr,4,20,slow,3,1554,3932676877,3932677154,277
isr,4,21,fast,20,1582,3963001842,3963002119,277
isr,4,22,slow,3,1615,3987674556,3987674834,278
isr,4,23,fast,20,1643,4018000834,4018001111,277
isr,4,24,slow,3,1676,4042662790,4042663068,278
isr,4,25,fast,20,1704,4072992328,4072992606,278
isr,4,26,slow,3,1737,4097643224,4097643503,279
isr,4,27,fast,20,1765,4127969635,4127969912,277
isr,4,28,slow,3,1798,4152620929,4152621207,278
isr,4,29,fast,20,1826,4182931181,4182931459,278
isr,4,30,slow,3,1859,4207710211,4207710488,277
isr,4,31,fast,20,1887,4238034798,4238035076,278
isr,4,32,slow,3,1920,4262717611,4262717889,278
