elapsed_s,temperature_c,target_c,power,controller_state,controller_algorithm,control_mode,fault,mcu_samples,mcu_temperature_c,mcu_temperature_estimate_c,mcu_temperature_valid,loop_clock,loop_clock_frequency,loop_clock_source,loop_dt_count,loop_dt_mean_s,loop_dt_stddev_s,loop_dt_min_s,loop_dt_max_s,thermal_model_source,thermal_model_gain,thermal_model_tau_s,thermal_model_delay_s,thermal_model_horizon_s,thermal_control_band_c,host_predictive_output,host_predictive_bias,host_predictive_filtered_temperature_c,host_predictive_ambient_c,host_predictive_approach_active,host_predictive_approach_blend
0.001155870999355102,51.92,75.0,0.30000762951094834,host,predictive,host,0,69,,55.625,False,18098.40687072,1.0,host,68,0.2999911799852807,0.0001168114807516676,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,0.3,0.0,,28.09,True,1.0
0.5008130810019793,51.9,75.0,0.8999923704890517,host,predictive,host,0,71,,55.625,False,18099.007015399,1.0,host,70,0.29999349882855325,0.00011628844074112614,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,0.8999999999999999,0.0,,28.09,True,1.0
1.0018604809993121,51.88,75.0,1.0,host,predictive,host,0,72,,55.59,False,18099.306925506,1.0,host,71,0.29999232429578176,0.00011588400902210755,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
1.5028156730004412,51.89,75.0,1.0,host,predictive,host,0,74,,55.59,False,18099.906943878,1.0,host,73,0.29999278626026565,0.00011437312203774383,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
2.003723853998963,51.9,75.0,1.0,host,predictive,host,0,76,,55.625,False,18100.506895918,1.0,host,75,0.2999923391599927,0.00011387182320656297,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
2.504410920999362,51.93,75.0,1.0,host,predictive,host,0,77,,55.625,False,18100.80694319,1.0,host,76,0.29999306196053743,0.00011329324552528808,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
3.0052932809994672,52.02,75.0,1.0,host,predictive,host,0,79,,55.799,False,18101.406883242,1.0,host,78,0.29999247129489964,0.00011196297788706052,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
3.506914928999322,52.17,75.0,1.0,host,predictive,host,0,81,,55.799,False,18102.006826986,1.0,host,80,0.29999195631248776,0.0001109718028361083,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
4.00793169300232,52.25,75.0,1.0,host,predictive,host,0,82,,56.008,False,18102.306890008,1.0,host,81,0.29999283366667023,0.00011056349855990142,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
4.509426273001736,52.48,75.0,1.0,host,predictive,host,0,84,,56.008,False,18102.906841515,1.0,host,83,0.29999242209638644,0.00010925808439460375,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
5.010739684999862,52.74,75.0,1.0,host,predictive,host,0,86,,56.287,False,18103.506833767,1.0,host,85,0.2999925092470863,0.00010798105148513108,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
5.512467602999095,52.88,75.0,1.0,host,predictive,host,0,87,,56.287,False,18103.806832131,1.0,host,86,0.2999925773255686,0.0001073532538308952,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
6.013304505002452,53.16,75.0,1.0,host,predictive,host,0,89,,56.705,False,18104.406834081,1.0,host,88,0.29999276818183385,0.00010620832337168372,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
6.514986079000664,53.45,75.0,1.0,host,predictive,host,0,91,,56.705,False,18105.006826125,1.0,host,90,0.2999928404889134,0.00010535148978269386,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
7.015904413001408,53.61,75.0,1.0,host,predictive,host,0,92,,57.053,False,18105.306796211,1.0,host,91,0.299992590439565,0.00010479788779488534,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
7.517603462001716,53.95,75.0,1.0,host,predictive,host,0,94,,57.053,False,18105.9068345,1.0,host,93,0.2999931614946446,0.00010378750162789477,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
8.018615372999193,54.28,75.0,1.0,host,predictive,host,0,96,,57.367,False,18106.506797585,1.0,host,95,0.2999929168842132,0.00010274429924290429,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
8.518958998000016,54.43,75.0,1.0,host,predictive,host,0,97,,57.367,False,18106.806816327,1.0,host,96,0.29999318589583857,0.00010224139821799185,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
9.019879092000338,54.75,75.0,1.0,host,predictive,host,0,99,,57.855,False,18107.406747881,1.0,host,98,0.29999262653061065,0.00010141898743335508,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
9.521780022001622,55.09,75.0,1.0,host,predictive,host,0,101,,57.855,False,18108.006636417,1.0,host,100,0.299991659360021,0.00010063210935265964,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
10.022790458999225,55.27,75.0,1.0,host,predictive,host,0,102,,58.238,False,18108.306737255,1.0,host,101,0.29999274033663353,0.00010071448216474739,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
10.524651230000018,55.64,75.0,1.0,host,predictive,host,0,104,,58.238,False,18108.906789956,1.0,host,103,0.29999339296116584,9.985269624161126e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
11.025644233999628,56.02,75.0,1.0,host,predictive,host,0,106,,58.691,False,18109.506733606,1.0,host,105,0.299992982142846,9.954721114599727e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
11.526965937999194,56.2,75.0,1.0,host,predictive,host,0,107,,58.691,False,18109.806674387,1.0,host,106,0.29999248967925385,9.920496282784434e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
12.028311996000411,56.59,75.0,1.0,host,predictive,host,0,109,,59.249,False,18110.406657652,1.0,host,108,0.29999247380557653,9.834759217972439e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
12.528961463001906,56.98,75.0,1.0,host,predictive,host,0,111,,59.249,False,18111.006676066,1.0,host,110,0.29999277804546925,9.760876120400099e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
13.030022540999198,57.17,75.0,1.0,host,predictive,host,0,112,,59.667,False,18111.306642573,1.0,host,111,0.29999254136936876,9.719978864050657e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
13.53214143200239,57.54,75.0,1.0,host,predictive,host,0,114,,59.667,False,18111.90667632,1.0,host,113,0.299992972026544,9.655606368039704e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
14.032983173001412,57.9,75.0,1.0,host,predictive,host,0,116,,60.085,False,18112.506582065,1.0,host,115,0.2999922746434964,9.585627694338265e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
14.533716501999152,58.08,75.0,1.0,host,predictive,host,0,117,,60.085,False,18112.806486152,1.0,host,116,0.2999915144051744,9.578977464831655e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
15.034613018000528,58.45,75.0,1.0,host,predictive,host,0,119,,60.643,False,18113.406563128,1.0,host,118,0.2999923105677935,9.661076975359464e-05,0.2993876549990091,0.3005686149990652,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
15.536349516001792,58.81,75.0,1.0,host,predictive,host,0,121,,60.643,False,18114.006569529,1.0,host,120,0.29999249206666717,0.00023039516111881175,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
16.0374300149997,59.0,75.0,1.0,host,predictive,host,0,122,,61.061,False,18114.306653463,1.0,host,121,0.29999324778514125,0.00022959043943039737,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
16.539427243998944,59.37,75.0,1.0,host,predictive,host,0,124,,61.061,False,18114.906524799,1.0,host,123,0.299992311528461,0.0002283501750543591,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
17.04048771900125,59.71,75.0,1.0,host,predictive,host,0,126,,61.479,False,18115.506520812,1.0,host,125,0.29999240264800026,0.0002265172200777542,0.29838020500028506,0.30162619600014295,base,80.0,150.0,2.0,30.0,1.0,1.0,0.0,,28.09,True,1.0
