dataset,sample,scope_delta_us,isr_delta_us,mapping_delta_us
"helix-sched-rr-r1",1,-2.9583333333333335,-1.792,-1.1663333333333334
"helix-sched-rr-r1",2,-3.1666666666666665,-1.792,-1.3746666666666665
"helix-sched-rr-r1",3,-3.25,-1.7449999999999999,-1.5050000000000001
"helix-sched-rr-r1",4,-3.1666666666666665,-1.792,-1.3746666666666665
"helix-sched-rr-r1",5,-1.75,-1.792,0.04200000000000004
"helix-sched-rr-r1",6,-0.4166666666666667,-1.7449999999999999,1.3283333333333331
"helix-sched-rr-r1",7,0.9583333333333334,-1.792,2.7503333333333333
"helix-sched-rr-r1",8,2.2083333333333335,-1.7449999999999999,3.953333333333333
"helix-sched-rr-r1",9,2.75,-1.792,4.542
"helix-sched-rr-r1",10,3.125,-1.7449999999999999,4.87
"helix-sched-rr-r1",11,3.25,-1.792,5.042
"helix-sched-rr-r1",12,3.291666666666667,-1.7449999999999999,5.036666666666667
"helix-sched-rr-r1",13,2.9583333333333335,-1.792,4.750333333333334
"helix-sched-rr-r1",14,2.375,-1.7449999999999999,4.12
"helix-sched-rr-r1",15,1.5,-1.792,3.292
"helix-sched-rr-r1",16,2.2916666666666665,-1.7449999999999999,4.036666666666666
"helix-sched-rr-r1",17,2.666666666666667,-1.792,4.458666666666667
"helix-sched-rr-r1",18,2.9583333333333335,-1.7449999999999999,4.703333333333333
"helix-sched-rr-r1",19,3.083333333333333,-1.792,4.875333333333333
"helix-sched-rr-r1",20,3.5833333333333335,-1.792,5.375333333333334
"helix-sched-rr-r1",21,3.416666666666667,-1.7449999999999999,5.161666666666667
"helix-sched-rr-r1",22,3.5,-1.792,5.292
"helix-sched-rr-r1",23,3.7083333333333335,-1.7449999999999999,5.453333333333333
"helix-sched-rr-r1",24,4.166666666666667,-1.7449999999999999,5.911666666666667
"helix-sched-rr-r1",25,4.166666666666667,-1.792,5.958666666666667
"helix-sched-rr-r1",26,4.208333333333333,-1.7449999999999999,5.953333333333333
"helix-sched-rr-r1",27,3.4583333333333335,-1.792,5.250333333333334
"helix-sched-rr-r1",28,3.3333333333333335,-1.7449999999999999,5.078333333333333
"helix-sched-rr-r1",29,3.0,-1.792,4.792
"helix-sched-rr-r1",30,2.75,-1.7449999999999999,4.495
"helix-sched-rr-r2",1,-3.375,-1.792,-1.583
"helix-sched-rr-r2",2,-2.0833333333333335,-1.7449999999999999,-0.3383333333333336
"helix-sched-rr-r2",3,-1.0833333333333333,-1.792,0.7086666666666668
"helix-sched-rr-r2",4,-0.9166666666666666,-1.792,0.8753333333333334
"helix-sched-rr-r2",5,-1.7916666666666667,-1.7449999999999999,-0.046666666666666856
"helix-sched-rr-r2",6,-2.458333333333333,-1.792,-0.666333333333333
"helix-sched-rr-r2",7,-2.2916666666666665,-1.7449999999999999,-0.5466666666666666
"helix-sched-rr-r2",8,-0.20833333333333334,-1.792,1.5836666666666668
"helix-sched-rr-r2",9,1.1666666666666665,-1.792,2.958666666666667
"helix-sched-rr-r2",10,1.2083333333333333,-1.792,3.0003333333333333
"helix-sched-rr-r2",11,1.0833333333333333,-1.792,2.8753333333333333
"helix-sched-rr-r2",12,2.1666666666666665,-1.7449999999999999,3.911666666666666
"helix-sched-rr-r2",13,3.291666666666667,-1.792,5.083666666666667
"helix-sched-rr-r2",14,3.0,-1.792,4.792
"helix-sched-rr-r2",15,3.125,-1.7449999999999999,4.87
"helix-sched-rr-r2",16,3.3333333333333335,-1.792,5.125333333333334
"helix-sched-rr-r2",17,3.625,-1.792,5.417
"helix-sched-rr-r2",18,-0.08333333333333334,-1.792,1.7086666666666668
"helix-sched-rr-r2",19,-0.875,-1.792,0.917
"helix-sched-rr-r2",20,-1.1666666666666665,-1.792,0.6253333333333335
"helix-sched-rr-r3",1,0.5416666666666666,-1.792,2.333666666666667
"helix-sched-rr-r3",2,1.125,-1.7449999999999999,2.87
"helix-sched-rr-r3",3,1.125,-1.7449999999999999,2.87
"helix-sched-rr-r3",4,1.375,-1.7449999999999999,3.12
"helix-sched-rr-r3",5,1.0833333333333333,-1.7449999999999999,2.828333333333333
"helix-sched-rr-r3",6,0.7083333333333334,-1.792,2.5003333333333333
"helix-sched-rr-r3",7,2.25,-1.792,4.042
"helix-sched-rr-r3",8,2.875,-1.792,4.667
"helix-sched-rr-r3",9,3.1666666666666665,-1.7449999999999999,4.911666666666666
"helix-sched-rr-r3",10,3.25,-1.7449999999999999,4.995
"helix-sched-rr-r3",11,2.666666666666667,-1.792,4.458666666666667
"helix-sched-rr-r3",12,0.9583333333333334,-1.792,2.7503333333333333
"helix-sched-rr-r3",13,-1.0416666666666667,-1.7449999999999999,0.7033333333333331
"helix-sched-rr-r3",14,-1.1666666666666665,-1.792,0.6253333333333335
"helix-sched-rr-r3",15,-2.25,-1.7449999999999999,-0.5050000000000001
"helix-sched-rr-r3",16,-2.9583333333333335,-1.792,-1.1663333333333334
"helix-sched-rr-r3",17,-4.708333333333334,-1.792,-2.916333333333334
"helix-sched-rr-r3",18,-4.041666666666666,-1.7449999999999999,-2.296666666666666
"helix-sched-rr-r3",19,-3.4583333333333335,-1.792,-1.6663333333333334
"helix-sched-rr-r3",20,-1.2916666666666667,-1.7449999999999999,0.45333333333333314
"helix-sched-rr-r4",1,-5.166666666666667,-1.7449999999999999,-3.421666666666667
"helix-sched-rr-r4",2,-1.875,-1.792,-0.08299999999999996
"helix-sched-rr-r4",3,-0.625,-1.792,1.167
"helix-sched-rr-r4",4,-0.375,-1.7449999999999999,1.3699999999999999
"helix-sched-rr-r4",5,-0.16666666666666669,-1.792,1.6253333333333333
"helix-sched-rr-r4",6,0.16666666666666669,-1.7449999999999999,1.9116666666666666
"helix-sched-rr-r4",7,0.25,-1.792,2.042
"helix-sched-rr-r4",8,0.5,-1.7449999999999999,2.245
"helix-sched-rr-r4",9,0.9166666666666666,-1.792,2.708666666666667
"helix-sched-rr-r4",10,1.375,-1.7449999999999999,3.12
"helix-sched-rr-r4",11,1.6666666666666667,-1.761,3.4276666666666666
"helix-sched-rr-r4",12,2.0,-1.7449999999999999,3.745
"helix-sched-rr-r4",13,2.2916666666666665,-1.792,4.083666666666667
"helix-sched-rr-r4",14,2.75,-1.7449999999999999,4.495
"helix-sched-rr-r4",15,3.291666666666667,-1.7449999999999999,5.036666666666667
"helix-sched-rr-r4",16,2.7916666666666665,-1.792,4.583666666666667
"helix-sched-rr-r4",17,2.5,-1.792,4.292
"helix-sched-rr-r4",18,4.666666666666666,-1.7449999999999999,6.411666666666666
"helix-sched-rr-r4",19,9.25,-1.7449999999999999,10.995
"helix-sched-rr-r4",20,10.875,-1.792,12.667
"klipper-legacy-r1",1,26.666666666666668,-1.7449999999999999,28.41166666666667
"klipper-legacy-r1",2,25.625,-1.792,27.417
"klipper-legacy-r1",3,22.625,-1.7449999999999999,24.37
"klipper-legacy-r1",4,21.541666666666668,-1.7449999999999999,23.28666666666667
"klipper-legacy-r1",5,20.666666666666668,-1.7449999999999999,22.41166666666667
"klipper-legacy-r1",6,15.041666666666666,-1.7449999999999999,16.786666666666665
"klipper-legacy-r1",7,13.291666666666666,-1.792,15.083666666666666
"klipper-legacy-r1",8,11.166666666666666,-1.792,12.958666666666666
"klipper-legacy-r1",9,7.875,-1.792,9.667
"klipper-legacy-r1",10,7.041666666666666,-1.7449999999999999,8.786666666666665
"klipper-legacy-r1",11,7.916666666666667,-1.7449999999999999,9.661666666666667
"klipper-legacy-r1",12,7.416666666666667,-1.792,9.208666666666668
"klipper-legacy-r1",13,6.958333333333333,-1.792,8.750333333333334
"klipper-legacy-r1",14,7.083333333333333,-1.7449999999999999,8.828333333333333
"klipper-legacy-r1",15,6.791666666666666,-1.792,8.583666666666666
"klipper-legacy-r1",16,5.833333333333333,-1.7449999999999999,7.578333333333333
"klipper-legacy-r1",17,5.25,-1.792,7.042
"klipper-legacy-r1",18,4.625,-1.7449999999999999,6.37
"klipper-legacy-r1",19,3.7916666666666665,-1.792,5.583666666666667
"klipper-legacy-r1",20,3.0,-1.7449999999999999,4.745
"klipper-legacy-r1",21,1.875,-1.7449999999999999,3.62
"klipper-legacy-r1",22,1.7916666666666667,-1.792,3.583666666666667
"klipper-legacy-r1",23,1.5,-1.7449999999999999,3.245
"klipper-legacy-r1",24,1.5,-1.792,3.292
"klipper-legacy-r1",25,1.6666666666666667,-1.7449999999999999,3.4116666666666666
"klipper-legacy-r1",26,1.625,-1.792,3.417
"klipper-legacy-r1",27,1.8333333333333333,-1.7449999999999999,3.578333333333333
"klipper-legacy-r1",28,1.8333333333333333,-1.792,3.6253333333333333
"klipper-legacy-r1",29,3.083333333333333,-1.7449999999999999,4.828333333333333
"klipper-legacy-r1",30,3.7916666666666665,-1.792,5.583666666666667
"helix-sched-other-adverse",1,-47.5,-1.792,-45.708
"helix-sched-other-adverse",2,-24.333333333333332,-1.792,-22.54133333333333
"helix-sched-other-adverse",3,-20.041666666666668,-1.792,-18.249666666666666
"helix-sched-other-adverse",4,-18.083333333333332,-1.7449999999999999,-16.33833333333333
"helix-sched-other-adverse",5,-13.791666666666668,-1.7449999999999999,-12.046666666666669
"helix-sched-other-adverse",6,-9.625,-1.792,-7.833
"helix-sched-other-adverse",7,-9.541666666666668,-1.7449999999999999,-7.796666666666668
"helix-sched-other-adverse",8,-9.958333333333332,-1.792,-8.166333333333332
"helix-sched-other-adverse",9,-10.125,-1.7449999999999999,-8.38
"helix-sched-other-adverse",10,-10.291666666666666,-1.792,-8.499666666666666
"helix-sched-other-adverse",11,-10.375,-1.7449999999999999,-8.63
"helix-sched-other-adverse",12,-10.375,-1.792,-8.583
"helix-phase-continuous-rejected",1,57.083333333333336,-1.792,58.87533333333334
"helix-phase-continuous-rejected",2,57.16666666666667,-1.7449999999999999,58.91166666666667
"helix-phase-continuous-rejected",3,57.125,-1.792,58.917
"helix-phase-continuous-rejected",4,57.25,-1.7449999999999999,58.995
"helix-phase-continuous-rejected",5,57.291666666666664,-1.792,59.083666666666666
"helix-phase-continuous-rejected",6,57.66666666666667,-1.7449999999999999,59.41166666666667
"helix-phase-continuous-rejected",7,57.833333333333336,-1.792,59.62533333333334
"helix-phase-continuous-rejected",8,57.95833333333333,-1.7449999999999999,59.703333333333326
"helix-phase-continuous-rejected",9,58.208333333333336,-1.7449999999999999,59.95333333333333
"helix-phase-continuous-rejected",10,58.25,-1.792,60.042
"helix-phase-continuous-rejected",11,58.375,-1.7449999999999999,60.12
"helix-phase-continuous-rejected",12,58.416666666666664,-1.792,60.208666666666666
"helix-phase-continuous-rejected",13,58.58333333333333,-1.792,60.37533333333333
"helix-phase-continuous-rejected",14,58.625,-1.792,60.417
